"nn_size_l1","nn_size_l2","nn_size_l3","accuraccy_test","accuracy_training","time_training","time_eval"
1,0,0,0.1875,0.196666666666667,4.13960790634155,0.051579475402832
1,0,0,0.12125,0.1175,3.85629868507385,0.0335624217987061
1,0,0,0.115,0.115138888888889,3.97146415710449,0.0309479236602783
1,0,0,0.06125,0.0736111111111111,4.31651878356934,0.0284831523895264
1,0,0,0.12625,0.121666666666667,4.12342238426208,0.0297613143920898
1,0,0,0.13125,0.111388888888889,3.92482733726501,0.0302698612213135
1,0,0,0.2725,0.266805555555556,3.88969421386719,0.0349373817443848
1,0,0,0.25375,0.245277777777778,4.08124661445618,0.0300257205963135
1,0,0,0.16125,0.130555555555556,3.88218235969543,0.036649227142334
1,0,0,0.11125,0.110694444444444,3.89570355415344,0.0306382179260254
1,1,0,0.135,0.126527777777778,4.31379890441895,0.0352258682250977
1,1,0,0.08625,0.09875,3.99566555023193,0.0358340740203857
1,1,0,0.095,0.0984722222222222,3.99734687805176,0.0369470119476318
1,1,0,0.13375,0.136944444444444,3.9846363067627,0.0352120399475098
1,1,0,0.0375,0.0463888888888889,4.25236654281616,0.0294342041015625
1,1,0,0.18875,0.192361111111111,4.16138195991516,0.0271227359771729
1,1,0,0.0825,0.0752777777777778,3.79208874702454,0.0285599231719971
1,1,0,0.1975,0.200694444444444,4.29257154464722,0.0264050960540771
1,1,0,0.11,0.113888888888889,3.88179135322571,0.0281028747558594
1,1,0,0.03,0.0298611111111111,3.6768205165863,0.0281589031219482
1,1,1,0.07875,0.0648611111111111,4.17699456214905,0.0282697677612305
1,1,1,0.0975,0.0977777777777778,4.29507374763489,0.0280628204345703
1,1,1,0.01625,0.0148611111111111,3.95364141464233,0.0274858474731445
1,1,1,0.19375,0.188194444444444,3.93374514579773,0.0281286239624023
1,1,1,0.14375,0.151666666666667,4.17321729660034,0.0283558368682861
1,1,1,0.19125,0.190138888888889,4.08610606193542,0.028336763381958
1,1,1,0.035,0.0283333333333333,4.10486721992493,0.0286848545074463
1,1,1,0.09875,0.0869444444444444,4.31121587753296,0.030210018157959
1,1,1,0.1675,0.186388888888889,4.00993657112122,0.0273275375366211
1,1,1,0.09625,0.0934722222222222,3.86395645141602,0.0285580158233643
